Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT,Car Storage,Stories,Construction Materials,Foundation,Fencing,Pool Type
70115,1516 Leontine  St ,"$575,000",01/12/2023,"1,346","1,632",VRGD,2,2,0,138,"$520,000",06/29/2023,$386.33,"One, Covered, Off Street Parking",1,Brick,Raised,,None
70119,3123 Desoto  St ,"$1,475,000",01/23/2023,"3,445","4,065",EXCE,3,3,0,46,"$1,444,300",05/10/2023,$419.25,"Three or More, Driveway Only",1.5,"Aluminum Siding, Hardy Plank, Wood Siding",Raised,,
70118,324 Webster  St ,"$349,000",01/27/2023,815,890,AVG,2,1,0,4,"$349,000",02/28/2023,$428.22,One,1,Siding,Raised,,
70115,727 Nashville  Ave ,"$895,000",05/02/2023,"2,088","2,200",EXCE,3,3,0,15,"$890,000",06/16/2023,$426.25,"One, Driveway Only, Off Street Parking",1,Siding,Raised,,None
70115,4435 Camp  St ,"$1,475,000",10/28/2022,"3,440","5,088",EXCE,5,4,1,124,"$1,425,000",04/10/2023,$414.24,"Two, Driveway Only, Off Street Parking",2,Wood Siding,Raised,,None
70115,5706 Laurel  St ,"$840,000",12/14/2022,"1,950","1,950",VRGD,3,2,0,0,"$840,000",01/27/2023,$430.77,None,1,Wood Siding,Raised,,Inground
70115,813 7th  St ,"$405,000",02/27/2023,940,940,VRGD,2,1,0,8,"$410,123",05/05/2023,$436.30,None,1,Wood Siding,Raised,,None
70115,1118 Valence  St ,"$995,000",03/21/2023,"2,299","3,420",EXCE,3,2,0,3,"$1,054,000",05/26/2023,$458.46,"Driveway Only, Off Street Parking",1,Wood Siding,Raised,,None
70118,6218 Laurel  St ,"$1,775,000",03/16/2023,"4,076","4,731",EXCE,5,4,1,35,"$1,675,000",05/17/2023,$410.94,Two,2,"Hardboard Siding, Wood Siding",Raised,,"Heated, Salt Water"
70115,724 General Taylor  St ,"$669,000",12/06/2022,"1,535","1,535",EXCE,2,2,1,10,"$655,700",01/27/2023,$427.17,None,1,"Hardy Plank, Wood Siding",Raised,,None
70115,4925 Laurel  St ,"$750,000",11/09/2022,"1,713","1,818",AVG,2,1,0,96,"$690,000",04/03/2023,$402.80,Three or More,1,"Frame, Wood Siding",Raised,,None
70115,928 Ninth  St ,"$325,000",10/04/2022,742,773,VRGD,1,1,0,2,"$329,660",11/11/2022,$444.29,None,1,Wood Siding,Raised,,None
70115,939 Jefferson  Ave ,"$1,199,000",05/15/2023,"2,723","2,900",EXCE,3,3,1,13,"$1,170,000",07/07/2023,$429.67,Two,2,"Hardy Plank, Siding",Raised,,
70115,1721 Joseph  St ,"$979,000",09/13/2022,"2,223","2,490",VRGD,3,2,0,2,"$965,000",10/21/2022,$434.10,"One, Driveway Only, Off Street Parking",1,Wood Siding,Raised,,None
70118,7520 Dominican  St ,"$1,400,000",12/05/2022,"3,174","13,875",VRGD,3,3,0,0,"$1,400,000",12/05/2022,$441.08,"Covered, Off Street Parking",1,Vinyl Siding,Slab,,Inground
70115,1701 Jefferson  Ave ,"$1,775,000",12/07/2022,"4,012","5,778",VRGD,5,4,0,6,"$1,350,000",01/25/2023,$336.49,Two,2,"Hardboard Siding, Wood Siding",Raised,,None
