Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT,Car Storage,Stories,Construction Materials,Foundation,Fencing,Pool Type
70115,2415 General Taylor  St ,"$160,000",08/31/2022,"1,425","3,510",POOR,3,2,0,97,"$140,000",01/26/2023,$98.25,Driveway Only,2,Brick,Slab,,
70119,3254 Castiglione  St ,"$160,000",02/25/2023,"1,400","1,400",FAIR,3,1,0,3,"$162,500",03/09/2023,$116.07,"One, Driveway Only",1,"Vinyl Siding, Wood Siding",Raised,,
70119,2408 George Nick Connor  Dr ,"$124,000",06/17/2022,"1,084","1,232",FAIR,2,1,0,62,"$125,000",11/10/2022,$115.31,"Two, Driveway Only",1,Siding,Raised,,
70115,4523  S Liberty  St ,"$245,000",05/05/2023,"2,141","2,141",FAIR,3,2,1,48,"$210,000",06/22/2023,$98.09,"One, Carport",2,Brick,"Other, Slab",,
70119,2403 Laharpe  St ,"$200,000",10/17/2022,"1,696","1,696",POOR,4,1,1,2,"$197,000",01/17/2023,$116.16,None,1,Wood Siding,Raised,,
70125,4312  S Tonti  St ,"$219,999",08/08/2022,"1,848","1,960",AVG,5,3,0,46,"$215,000",04/13/2023,$116.34,"Driveway Only, Off Street Parking",3,Wood Siding,Raised,,
70125,7014 Pritchard  Pl ,"$225,000",04/13/2023,"1,889","2,027",FAIR,3,2,0,12,"$192,700",05/23/2023,$102.01,Off Street Parking,1,Wood Siding,"Raised, Slab",,None
70125,3413  S Galvez  St ,"$125,000",11/01/2022,"1,045","1,075",POOR,1,1,0,0,"$110,000",12/28/2022,$105.26,"Two, Driveway Only",2,Vinyl Siding,Raised,,
70118,8325 Willow  St ,"$158,000",06/19/2022,"1,310","1,310",FAIR,2,2,0,85,"$180,000",02/08/2023,$137.40,Carport,1,Brick,Slab,,
70118,4117 Eagle  St ,"$290,000",06/29/2022,"2,400","2,600",EXCE,4,3,0,125,"$285,600",11/30/2022,$119.00,Driveway Only,1,"Hardy Plank, Stucco",Raised,,None
70125,3819 3rd  St ,"$135,000",08/14/2022,"1,116","3,930",AVG,3,2,0,5,"$146,831",11/03/2022,$131.57,Two,1,Siding,Raised,,
70125,4510  S Johnson  St ,"$439,000",06/03/2022,"3,603","3,814",AVG,4,3,1,146,"$418,000",12/30/2022,$116.01,"Three or More, Driveway Only, Off Street Parking",3,"Brick, Hardy Plank, Wood Siding",Raised,,None
70119,2161 Hope  St ,"$175,000",10/17/2022,"1,432","1,558",FAIR,3,2,0,9,"$170,000",12/05/2022,$118.72,Driveway Only,1,Hardy Plank,Raised,,None
70125,4500 Walmsley  Ave ,"$189,900",08/10/2022,"1,548","1,548",AVG,3,2,0,61,"$180,000",11/10/2022,$116.28,Off Street Parking,1,Brick,Slab,,None
70125,4108 Clio  St ,"$135,000",05/09/2023,"1,090","1,090",FAIR,3,2,0,52,"$107,000",08/25/2023,$98.17,Driveway Only,1,Siding,Raised,,
70119,2708 Saint Anthony  St ,"$154,000",03/07/2023,"1,233","1,353",AVG,3,1,0,10,"$162,000",04/14/2023,$131.39,"One, Driveway Only",1,"Frame, Siding",Raised,,
70118,9303 Belfast  St ,"$135,000",03/29/2023,"1,080","1,080",AVG,2,1,0,23,"$135,000",05/22/2023,$125.00,Driveway Only,1,"Brick, Siding",Raised,,None
70115,2427 Peniston  St ,"$379,000",02/09/2023,"2,980","3,108",AVG,4,2,0,40,"$365,000",05/25/2023,$122.48,"Three or More, Driveway Only",2,Siding,Slab,,
70115,2128 Peniston  St ,"$329,900",08/06/2021,"2,593","2,808",AVG,4,3,1,434,"$300,000",01/26/2023,$115.70,Driveway Only,2,Hardy Plank,Raised,,
70118,2537 Hamilton  St ,"$210,000",01/06/2023,"1,644","1,644",EXCE,3,2,0,141,"$217,000",06/08/2023,$132.00,Driveway Only,1,Brick,Raised,,None
70125,4224  S Derbigny ,"$175,000",01/05/2023,"1,360","1,360",,3,1,,124,"$160,000",05/05/2023,$117.65,"Three or More, Covered",1,Wood Siding,Raised,,
70118,8716 Nelson  St ,"$214,900",07/03/2023,"1,667","1,926",AVG,4,3,0,41,"$214,900",09/20/2023,$128.91,None,1,Siding,Raised,,
70118,9320 Olive  St ,"$135,000",09/28/2022,"1,040","1,071",AVG,3,1,0,8,"$135,000",12/08/2022,$129.81,None,1,Hardy Plank,Raised,,
70119,2413 St Anthony  St ,"$185,000",06/23/2022,"1,420","1,576",AVG,3,2,0,37,"$160,000",10/03/2022,$112.68,None,1,Wood Siding,Raised,,
70118,8219 Sycamore  Pl ,"$230,000",02/02/2023,"1,746","1,746",POOR,3,2,0,13,"$266,000",03/13/2023,$152.35,None,1.5,Frame,Raised,,
70119,1835 Industry  St ,"$140,000",07/28/2022,"1,058","3,300",VRGD,3,1,0,1,"$140,000",11/17/2022,$132.33,"One, Two",1,"Brick, Stucco",Raised,,
70125,4341 State Street  Dr ,"$249,000",03/10/2023,"1,858","2,150",FAIR,4,2,0,8,"$238,500",04/17/2023,$128.36,Driveway Only,2,Siding,Raised,,
70118,9536 Stroelitz  St ,"$155,000",04/27/2023,"1,151","1,151",AVG,2,2,0,26,"$150,000",06/30/2023,$130.32,"Three or More, Driveway Only, Off Street Parking",1,Wood Siding,Raised,,None
70119,2630 Palmyra  St ,"$165,000",03/08/2023,"1,224","4,950",VRGD,3,1,0,7,"$145,000",06/20/2023,$118.46,"Two, Driveway Only, Off Street Parking",1,Wood Siding,Raised,,
70119,2701 Bayou  Rd ,"$375,000",07/01/2022,"2,778","2,778",FAIR,3,3,0,91,"$229,000",10/21/2022,$82.43,Three or More,2,Vinyl Siding,Raised,,None
70115,2207 Jefferson  Ave ,"$449,000",10/28/2022,"3,321","3,321",AVG,5,3,0,62,"$492,000",03/01/2023,$148.15,One,2,Stucco,Raised,,None
70125,3737 Napoleon  Ave ,"$399,000",06/23/2022,"2,945","3,600",VRGD,4,3,0,63,"$410,000",11/07/2022,$139.22,"Three or More, Driveway Only",2,"Stucco, Wood Siding",Raised,,None
70118,8329 Sycamore  Pl ,"$435,000",04/27/2023,"3,208","5,010",AVG,4,2,1,8,"$385,000",06/26/2023,$120.01,"Three or More, Driveway Only",3,Wood Siding,Raised,,
70119,2238 New Orleans  St ,"$179,000",01/19/2023,"1,320","1,395",VRGD,3,2,0,61,"$177,000",05/22/2023,$134.09,"Three or More, Driveway Only",1,Vinyl Siding,Raised,,None
70118,8329 Hickory  St ,"$250,000",11/17/2022,"1,843","3,600",POOR,3,2,0,84,"$170,000",04/17/2023,$92.24,"Three or More, Off Street Parking",2,Wood Siding,Raised,,None
70125,6007 Craigie  Rd ,"$195,000",10/28/2022,"1,431","1,654",EXCE,3,2,0,4,"$195,000",11/30/2022,$136.27,One,1,Brick,Slab,,None
70118,2336 Cambronne  St ,"$199,000",03/04/2023,"1,455","1,543",FAIR,3,1,1,43,"$199,000",07/14/2023,$136.77,Driveway Only,1,Vinyl Siding,Raised,,None
70125,3214 Milan  St ,"$175,000",04/14/2022,"1,267","2,730",AVG,3,1,0,35,"$165,000",10/18/2022,$130.23,Driveway Only,2,Wood Siding,Raised,,
70125,4025 Vendome  Pl ,"$550,000",09/09/2022,"3,964","5,259",EXCE,3,3,1,163,"$435,911",04/06/2023,$109.97,"Two, Attached, Carport",1.5,Brick,"Raised, Slab",,Inground
70118,8824 Hickory  St ,"$199,000",01/11/2023,"1,429","1,585",VRGD,3,2,0,175,"$195,000",08/31/2023,$136.46,None,1,Wood Siding,Raised,,None
70119,425 Manasses  Aly ,"$169,900",05/08/2022,"1,215","1,311",AVG,3,1,0,49,"$165,000",10/12/2022,$135.80,None,2,Wood Siding,Raised,,None
70115,714 Seventh  St ,"$250,000",09/15/2022,"1,772","1,772",FAIR,2,1,1,55,"$175,000",12/13/2022,$98.76,Off Street Parking,2,Wood Siding,Raised,,
70125,1701  S Salcedo  St ,"$215,000",09/16/2022,"1,520","1,937",EXCE,3,2,0,4,"$210,000",10/27/2022,$138.16,Two,1,Siding,Raised,,
70118,1120 Lowerline  St ,"$400,000",02/22/2023,"2,803","2,950",FAIR,8,3,0,0,"$435,000",05/15/2023,$155.19,"Two, Driveway Only",1.5,"Other, Vinyl Siding","Raised, Slab",,None
70119,3111 Pauger  St ,"$242,500",08/10/2022,"1,691","1,691",VRGD,4,2,0,121,"$232,000",02/01/2023,$137.20,None,1,"Hardy Plank, Wood Siding",Raised,,
70119,2316 Allen  St ,"$179,999",03/27/2023,"1,249","1,282",EXCE,3,2,0,61,"$179,000",07/24/2023,$143.31,"Driveway Only, Off Street Parking",1,Hardy Plank,Raised,,None
70115,2326 Robert  St ,"$399,900",05/06/2022,"2,692","2,942",AVG,4,2,0,118,"$380,000",11/04/2022,$141.16,"Three or More, Driveway Only",2,Frame,Raised,,None
70118,3108 Live Oak  St ,"$195,000",03/29/2023,"1,300","1,300",VRGD,3,2,0,53,"$150,000",06/05/2023,$115.38,Carport,1,"Vinyl Siding, Wood Siding",Raised,,
70118,3019 Eagle  St ,"$265,000",01/31/2023,"1,762","3,600",EXCE,4,2,1,28,"$265,000",05/03/2023,$150.40,"Three or More, Driveway Only",2,Hardy Plank,Raised,,None
70125,3031 Delachaise  St ,"$285,000",08/29/2022,"1,890","2,070",NEW,3,2,0,6,"$287,000",10/25/2022,$151.85,Off Street Parking,1,Hardy Plank,Raised,,
70125,3310 Upperline  St ,"$429,000",10/25/2022,"2,800","2,888",AVG,4,4,0,108,"$450,000",03/10/2023,$160.71,Off Street Parking,2,Wood Siding,Raised,,None
70118,1023 Cambronne  St ,"$330,000",08/13/2022,"2,124","2,264",POOR,2,2,0,19,"$310,000",10/04/2022,$145.95,"Three or More, Driveway Only, Off Street Parking",1,Siding,Raised,,
70125,4211  S Johnson  St ,"$325,000",12/09/2022,"2,091","2,200",VRGD,3,2,0,83,"$312,750",04/03/2023,$149.57,Driveway Only,1,Siding,Raised,,None
70119,1632  N Miro  St ,"$225,000",05/08/2023,"1,440","1,546",VRGD,3,2,0,8,"$225,000",06/21/2023,$156.25,Driveway Only,1,Brick,Raised,,None
70125,4901  S Claiborne  Ave ,"$345,000",06/30/2022,"2,200","2,257",EXCE,3,2,0,176,"$350,000",02/09/2023,$159.09,One,2,Stucco,"Raised, Slab",,
70125,5421  S Tonti  St ,"$499,000",12/13/2022,"3,180","3,180",AVG,4,2,1,101,"$380,000",05/05/2023,$119.50,"Two, Off Street Parking",2,Brick,Slab,,None
70118,2316 Cambronne  St ,"$215,000",08/19/2022,"1,366","1,914",FAIR,2,1,0,34,"$195,000",11/07/2022,$142.75,Driveway Only,1,"Other, Reclaimed Materials",Raised,,None
70118,8911 Edinburgh  Dr ,"$150,000",10/20/2021,947,"1,107",,2,1,,439,"$135,500",01/27/2023,$143.08,Two,1,Stucco,Slab,,
70119,2320 Aubry  St ,"$159,000",05/11/2023,"1,000","1,150",VRGD,3,2,0,84,"$154,000",09/07/2023,$154.00,None,1,Frame,Raised,,
70118,1428 Leonidas  St ,"$175,000",02/17/2023,"1,100","1,150",FAIR,2,1,0,15,"$125,000",04/28/2023,$113.64,Off Street Parking,1,Wood Siding,Raised,,
70119,326  S Gayoso  St ,"$150,000",07/19/2022,938,938,FAIR,2,1,0,168,"$100,000",02/28/2023,$106.61,Off Street Parking,1,Wood Siding,Raised,,None
70118,1623 Pine  St ,"$486,000",10/10/2022,"3,025","4,672",AVG,5,4,0,5,"$541,000",10/28/2022,$178.84,"Three or More, Garage",3,"Cedar, Frame",Slab,,None
70118,1626 General Ogden  St ,"$203,000",08/05/2022,"1,263","1,375",AVG,2,1,1,135,"$180,000",02/24/2023,$142.52,"One, Off Street Parking",1,Hardy Plank,Raised,,None
70119,1901 Hope  St ,"$279,000",05/10/2022,"1,722","1,938",EXCE,3,2,1,95,"$270,000",10/17/2022,$156.79,Off Street Parking,1,Hardy Plank,Raised,,None
70119,2647 George Nick Connor  Dr ,"$167,000",06/16/2023,"1,014","1,300",VRGD,3,2,0,12,"$162,400",07/31/2023,$160.16,"Two, Driveway Only",1,Vinyl Siding,Slab,Wood,None
70118,2808 Dante  St ,"$365,000",03/03/2023,"2,197","2,574",VRGD,4,1,1,102,"$355,000",07/13/2023,$161.58,"Three or More, Off Street Parking",2,Hardy Plank,Raised,,None
70118,3327 Mistletoe  St ,"$269,000",02/15/2023,"1,600","1,600",EXCE,3,2,0,64,"$269,000",05/19/2023,$168.13,"Driveway Only, Off Street Parking",1,Hardy Plank,Raised,,None
70119,2080 Law  St ,"$199,900",10/20/2022,"1,184","1,240",EXCE,3,2,0,29,"$199,900",02/03/2023,$168.83,Off Street Parking,1,Siding,Raised,,None
70115,801 Austerlitz  St ,"$699,000",04/07/2023,"4,106","5,561",AVG,5,4,1,101,"$699,000",08/02/2023,$170.24,"Two, Driveway Only",2,Wood Siding,Raised,,Above Ground
70118,52 Neron  Pl ,"$599,000",07/11/2023,"3,517","4,384",VRGD,3,2,1,1,"$575,000",08/04/2023,$163.49,"Two, Driveway Only",3,"Brick, Wood Siding",Raised,,
70118,8609 Hickory  St ,"$349,500",03/13/2023,"2,042","2,216",EXCE,3,3,1,181,"$330,000",09/20/2023,$161.61,None,2,Hardy Plank,Raised,,
70119,1219  N Lopez  St ,"$749,000",11/17/2022,"4,375","8,494",POOR,6,3,0,18,"$700,000",01/17/2023,$160.00,"Three or More, Driveway Only, Off Street Parking",3,Wood Siding,Raised,,
70125,1125  S Gayoso  St ,"$309,000",10/21/2022,"1,800","1,749",NEW,3,2,1,17,"$295,000",11/30/2022,$163.89,"One, Driveway Only, Off Street Parking",1,"Brick, Stucco",Raised,,None
70119,2819 Banks  St ,"$160,000",02/24/2023,928,"1,029",FAIR,2,1,0,7,"$160,000",03/23/2023,$172.41,"Three or More, Off Street Parking",1,Vinyl Siding,Raised,,None
70119,1656  N Tonti  St ,"$174,000",03/06/2023,"1,008","1,192",VRGD,2,1,0,77,"$166,400",07/07/2023,$165.08,None,1,Hardy Plank,Raised,,None
70119,2114 Columbus  St ,"$185,000",01/27/2023,"1,065","1,150",AVG,2,1,0,54,"$150,000",04/06/2023,$140.85,"Driveway Only, Off Street Parking",1,Siding,Raised,,None
70125,1923  S Salcedo  St ,"$425,000",03/16/2023,"2,439","2,711",EXCE,4,3,0,160,"$380,000",09/27/2023,$155.80,"Driveway Only, Garage",1,Stucco,Slab,,
70119,3211 Conti  St ,"$110,000",06/09/2023,627,803,AVG,2,1,0,1,"$126,000",06/22/2023,$200.96,"Driveway Only, Off Street Parking",1,Hardy Plank,Raised,Wood,None
70115,3820 Constance  St ,"$220,000",03/17/2023,"1,250","1,250",FAIR,3,2,0,18,"$200,000",06/05/2023,$160.00,None,1,Wood Siding,Raised,,None
70125,4112  S Derbigny  St ,"$230,000",09/18/2022,"1,296","1,296",EXCE,4,2,0,49,"$227,000",12/09/2022,$175.15,One,1,Aluminum Siding,Raised,,None
70118,7916 Panola  St ,"$249,900",11/07/2022,"1,404","1,537",FAIR,2,2,0,13,"$212,500",01/12/2023,$151.35,Driveway Only,1,Wood Siding,Raised,,None
70119,2427 Republic  St ,"$349,000",11/22/2022,"1,950","2,095",NEW,3,3,0,0,"$345,000",12/06/2022,$176.92,"Three or More, Off Street Parking",2,Hardy Plank,Raised,,None
70125,4515  S Rocheblave  St ,"$489,000",06/22/2023,"2,732","4,123",EXCE,4,3,0,5,"$515,000",07/27/2023,$188.51,"Three or More, Driveway Only, Off Street Parking",2,Frame,"Raised, Slab",Wood,None
70119,2726 A P Tureaud  Ave ,"$286,500",09/02/2022,"1,595","1,730",NEW,3,2,1,17,"$285,000",10/21/2022,$178.68,Off Street Parking,2,Hardy Plank,Raised,,
70115,5033 Danneel  St ,"$750,000",07/13/2023,"4,169","4,200",VRGD,6,2,2,2,"$750,000",08/15/2023,$179.90,None,2,Frame,Raised,Wood,None
70118,8227 Oleander  St ,"$180,000",07/17/2023,998,"1,356",EXCE,3,1,0,4,"$179,000",08/31/2023,$179.36,"Three or More, Off Street Parking",1,Hardy Plank,Raised,,None
70125,260 Audubon  Blvd ,"$879,000",11/21/2022,"4,856","5,871",VRGD,5,5,0,69,"$854,514",02/27/2023,$175.97,"Two, Covered, Off Street Parking",3,"Siding, Stucco",Raised,,None
70125,3535 Delachaise  St ,"$329,000",01/23/2023,"1,811","1,985",EXCE,3,2,1,82,"$326,000",06/06/2023,$180.01,"Two, Driveway Only, Off Street Parking",2,Hardy Plank,Raised,,
70125,3321 General Taylor  St ,"$265,000",09/01/2022,"1,457","1,635",VRGD,3,1,1,69,"$257,500",12/16/2022,$176.73,Three or More,1,"Hardy Plank, Wood Siding",Raised,,None
70119,1961  N Galvez  St ,"$229,000",02/28/2023,"1,252","1,554",EXCE,2,2,0,68,"$225,000",06/15/2023,$179.71,"One, Off Street Parking",1,Hardy Plank,Raised,,None
70125,3027 Audubon  St ,"$345,000",03/30/2023,"1,886","2,052",NEW,3,2,1,49,"$345,000",06/12/2023,$182.93,None,2,"Frame, Hardy Plank",Raised,,None
70115,3419  S Saratoga  St ,"$489,500",02/23/2023,"2,661","2,659",EXCE,4,3,1,43,"$495,300",05/09/2023,$186.13,"Two, Off Street Parking",2,"Siding, Stucco",Raised,,None
70125,296 Audubon  Blvd ,"$585,000",11/08/2022,"3,180","3,200",FAIR,5,2,1,94,"$525,000",03/31/2023,$165.09,"Three or More, Carport, Off Street Parking",3,Stucco,Raised,,None
70119,3011 Banks  St ,"$475,000",08/12/2022,"2,571","2,671",VRGD,3,3,0,37,"$460,000",10/21/2022,$178.92,"Carport, Off Street Parking",2,"Hardy Plank, Wood Siding",Raised,,None
70118,8911 Apple  St ,"$299,000",01/18/2023,"1,614","1,807",NEW,3,2,0,174,"$295,000",08/09/2023,$182.78,"Two, Off Street Parking",1,Hardy Plank,Raised,,None
70125,7916 Walmsley  Ave ,"$549,000",10/17/2022,"2,938","3,472",VRGD,3,3,1,96,"$533,000",02/27/2023,$181.42,Three or More,2,"Brick, Wood Siding",Slab,,None
70115,2321 Seventh  St ,"$299,000",03/28/2023,"1,600","3,750",VRGD,3,2,0,53,"$305,000",06/28/2023,$190.63,None,1,"Hardy Plank, Wood Siding",Raised,,
70119,2527 Saint Ann  St ,"$189,900",07/29/2022,"1,013","1,013",FAIR,3,2,0,51,"$182,620",10/28/2022,$180.28,None,1,Frame,Raised,,None
70115,2816 Amelia  St ,"$335,000",06/20/2023,"1,765","2,138",EXCE,3,2,1,14,"$335,000",08/04/2023,$189.80,"One, Driveway Only, Off Street Parking",2,Hardy Plank,Raised,Wood,None
70125,3108 Broadway  St ,"$245,000",04/14/2023,"1,290","1,290",EXCE,3,2,0,28,"$245,000",06/16/2023,$189.92,None,1,Vinyl Siding,Raised,,None
70119,415 Manasses  Pl ,"$148,900",04/19/2023,780,845,AVG,1,1,0,85,"$113,000",08/01/2023,$144.87,"One, Driveway Only, Off Street Parking",1,Wood Siding,Raised,,None
70125,3801 Nashville  Ave ,"$260,000",06/13/2023,"1,359","5,445",FAIR,2,1,1,0,"$260,000",07/26/2023,$191.32,Off Street Parking,2,Siding,Slab,Wood,
70125,4425 Elba  St ,"$270,000",07/20/2022,"1,406","1,542",VRGD,3,1,1,148,"$262,500",01/31/2023,$186.70,"Two, Off Street Parking",1,"Brick, Hardy Plank",Raised,,None
70125,3101 Nashville  Ave ,"$625,000",09/27/2022,"3,230","3,504",EXCE,4,2,1,24,"$625,000",12/14/2022,$193.50,"Two, Garage, Off Street Parking",2,Brick,Raised,,
70118,1308 Ferry  Pl ,"$219,900",11/04/2022,"1,135","1,170",VRGD,3,2,0,103,"$199,000",03/21/2023,$175.33,"One, Driveway Only, Off Street Parking",2,Siding,Raised,,None
70125,7908 Nelson  St ,"$580,000",10/28/2022,"2,975","4,305",VRGD,5,3,0,38,"$580,000",01/20/2023,$194.96,"Three or More, Driveway Only",2,Wood Siding,Slab,,"Inground, Salt Water"
70119,4701 Toulouse  St ,"$599,000",01/13/2023,"3,066","3,162",VRGD,2,3,0,91,"$597,500",06/01/2023,$194.88,"Two, Off Street Parking",2,Siding,"Raised, Slab",,None
70118,8315 Jeannette  St ,"$275,000",09/22/2022,"1,400","1,450",AVG,4,1,0,155,"$235,000",04/28/2023,$167.86,Driveway Only,1,Aluminum Siding,Slab,,
70125,4113 Thalia  St ,"$300,000",04/27/2023,"1,527","1,701",EXCE,3,3,0,6,"$286,000",06/02/2023,$187.30,"Two, Driveway Only",1,"Frame, Hardy Plank",Raised,,None
70118,8326 Green  St ,"$225,000",08/14/2023,"1,140","1,215",FAIR,1,1,0,4,"$172,000",09/01/2023,$150.88,"One, Driveway Only",1,Wood Siding,Raised,Other,None
70118,4214 Eagle  St ,"$180,000",03/08/2023,909,"1,060",EXCE,2,2,0,13,"$183,000",04/24/2023,$201.32,"One, Driveway Only, Off Street Parking",1,Hardy Plank,Raised,,
70125,3135 Octavia  St ,"$695,000",03/09/2023,"3,504","3,778",VRGD,3,3,2,103,"$650,000",08/25/2023,$185.50,"Two, Carport, Off Street Parking",2,Brick,"Raised, Slab",,Inground
70125,6401 Fontainebleau  Dr ,"$1,150,000",04/29/2023,"5,791","6,812",FAIR,6,4,0,3,"$1,075,000",07/03/2023,$185.63,"Three or More, Carport, Garage",3,Brick,Slab,,None
70119,1777  N Dorgenois  St ,"$369,000",11/14/2022,"1,854","1,998",EXCE,3,2,0,118,"$335,000",04/20/2023,$180.69,None,1,"Frame, Hardy Plank, Wood Siding",Raised,,None
70115,2016 Seventh  St ,"$299,000",04/28/2023,"1,494","1,507",VRGD,3,2,0,43,"$285,000",07/12/2023,$190.76,None,1,Wood Siding,Raised,,None
70125,4509 Elba  St ,"$420,000",03/24/2023,"2,097","4,578",EXCE,3,3,0,115,"$420,000",09/28/2023,$200.29,"Three or More, Garage, Off Street Parking",2,Wood Siding,Raised,,None
70125,2340 Broadway  St ,"$595,000",03/08/2023,"2,966","2,966",EXCE,5,4,0,176,"$595,000",09/15/2023,$200.61,"Three or More, Lot, Off Street Parking",2,Stucco,Raised,,
70125,68 Versailles  Blvd ,"$495,000",08/23/2023,"2,456","2,554",VRGD,3,2,1,2,"$501,000",09/29/2023,$203.99,"Driveway Only, Off Street Parking",2,"Brick, Wood Siding",Raised,Wood,None
70125,4550 Walmsley  Ave ,"$310,000",10/27/2022,"1,538","2,048",VRGD,3,2,0,132,"$290,000",04/20/2023,$188.56,Off Street Parking,2,Siding,Raised,,None
70118,8432 Oleander  St ,"$205,000",09/17/2021,"1,017","1,088",VRGD,2,2,0,319,"$190,000",10/17/2022,$186.82,Three or More,1,Wood Siding,Raised,,None
70115,5000 Chestnut  St ,"$799,000",06/10/2023,"3,963","4,054",AVG,4,4,0,72,"$799,000",09/22/2023,$201.61,None,2,Wood Siding,Raised,Wood,None
70125,7017  S Claiborne  Ave ,"$379,000",11/15/2022,"1,878","2,022",VRGD,3,3,0,167,"$379,000",06/01/2023,$201.81,"Two, Driveway Only, Off Street Parking",1,Hardy Plank,Slab,,None
70118,8700 Monroe  Ct ,"$234,900",12/01/2022,"1,152","1,152",EXCE,3,2,0,205,"$224,000",07/24/2023,$194.44,Off Street Parking,1,Vinyl Siding,Raised,,None
70125,5403  S Prieur  St ,"$775,000",04/05/2023,"3,800","4,000",EXCE,5,2,1,10,"$747,000",05/31/2023,$196.58,"Two, Off Street Parking",2,Wood Siding,Raised,,
70118,2213 Leonidas  St ,"$399,000",11/04/2022,"1,956","2,230",NEW,3,2,1,22,"$390,000",01/27/2023,$199.39,Driveway Only,2,"Brick, Hardy Plank",Raised,,
70125,3344 Vincennes  Pl ,"$429,000",03/14/2023,"2,100","2,350",VRGD,3,2,1,47,"$410,000",05/26/2023,$195.24,One,2,Wood Siding,Other,,None
70118,8934 Jeannette  St ,"$310,000",11/15/2022,"1,516","1,713",VRGD,3,2,0,10,"$315,000",12/30/2022,$207.78,None,1,Wood Siding,Raised,,None
70125,4153 Vincennes  Pl ,"$410,000",10/05/2022,"1,993","1,993",VRGD,3,2,1,138,"$390,000",03/29/2023,$195.68,Driveway Only,2,Brick,Raised,,None
70115,2509 Joseph  St ,"$539,000",04/15/2023,"2,599","2,863",AVG,5,2,0,1,"$539,000",05/12/2023,$207.39,Driveway Only,2,Wood Siding,Raised,,
70115,2539 Octavia  St ,"$875,000",12/29/2022,"4,205","4,400",VRGD,5,4,1,8,"$820,800",02/10/2023,$195.20,"One, Covered, Garage",2,Frame,Slab,,Inground
70125,3408 Nashville  Ave ,"$475,000",11/25/2022,"2,279","2,549",VRGD,3,3,1,116,"$470,000",04/24/2023,$206.23,Off Street Parking,2,Wood Siding,Raised,,
70115,5829 Clara  St ,"$799,000",03/16/2022,"3,832","4,810",EXCE,7,3,1,133,"$769,000",12/08/2022,$200.68,"Driveway Only, Off Street Parking",2,Wood Siding,"Raised, Slab",,None
70119,4322 D'hemecourt  St ,"$300,000",07/14/2022,"1,438","1,438",EXCE,3,2,0,298,"$300,000",06/23/2023,$208.62,"None, Off Street Parking",1,Siding,Raised,,None
70115,612 Valence  St ,"$350,000",02/03/2023,"1,672","2,006",POOR,3,1,0,4,"$325,000",03/01/2023,$194.38,"Driveway Only, Off Street Parking",1,Vinyl Siding,Raised,,None
70125,4500  S Galvez  St ,"$520,000",02/27/2023,"2,482","3,670",VRGD,3,3,0,58,"$500,000",05/26/2023,$201.45,"Attached, Garage",2,Stucco,Slab,,None
70115,2334 Jefferson  Ave ,"$465,000",12/16/2022,"2,219","4,900",FAIR,3,2,0,6,"$440,000",12/30/2022,$198.29,"Two, Off Street Parking",2,Wood Siding,Slab,,
70125,2909 Broadway  St ,"$365,000",04/21/2023,"1,732","1,944",EXCE,3,2,1,14,"$365,000",06/15/2023,$210.74,"Two, Off Street Parking",2,Hardy Plank,Raised,,
70125,3508  S Tonti  St ,"$269,900",12/06/2022,"1,278","1,469",EXCE,3,2,0,45,"$260,000",02/28/2023,$203.44,None,1,Hardy Plank,Raised,,None
70115,3201 Danneel  St ,"$410,000",11/09/2022,"1,941","2,043",NEW,3,2,1,168,"$395,000",06/14/2023,$203.50,"One, Driveway Only",2,Hardy Plank,Raised,,None
70118,8515 Jeannette  St ,"$515,000",07/10/2023,"2,436","2,516",EXCE,4,4,0,4,"$499,000",08/31/2023,$204.84,"Two, Driveway Only",2,Hardy Plank,Raised,,None
70125,3420 Jefferson  Ave ,"$850,000",01/12/2023,"4,012","4,012",EXCE,4,4,0,82,"$845,000",05/24/2023,$210.62,"Driveway Only, Off Street Parking",2,"Hardy Plank, Wood Siding",Raised,,None
70118,366 Millaudon  St ,"$865,000",06/21/2022,"4,072","4,812",VRGD,5,4,0,53,"$865,000",10/12/2022,$212.43,"Three or More, Driveway Only, Off Street Parking",3,Stucco,Slab,,None
70119,4722 Iberville  St ,"$238,000",11/15/2022,"1,110","1,110",AVG,2,1,1,153,"$243,000",07/11/2023,$218.92,None,1,Frame,Raised,,
70125,2421  S Roman  St ,"$225,000",09/27/2022,"1,047","1,170",NEW,3,2,0,140,"$218,000",03/15/2023,$208.21,"Two, Driveway Only, Off Street Parking",2,Vinyl Siding,Raised,,None
70118,4214 Eagle  St ,"$179,000",06/07/2022,832,966,EXCE,2,2,0,26,"$175,000",10/10/2022,$210.34,Driveway Only,1,Hardy Plank,Raised,,
70125,1700  S Lopez  St ,"$399,000",01/31/2023,"1,854","2,185",EXCE,3,2,0,126,"$385,000",07/17/2023,$207.66,"One, Off Street Parking",1,"Hardy Plank, Wood Siding",Raised,,None
70115,2301 Delachaise  St ,"$275,000",11/08/2022,"1,273","1,273",EXCE,3,2,0,10,"$285,000",12/13/2022,$223.88,"Driveway Only, Off Street Parking",1,"Frame, Siding",Raised,,None
